No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
461,rico's pizza cafe menu,1000,RM3.68,1,navigational,26
462,pak mat western cafe menu,1000,RM1.55,4,informational,21
463,rata restaurant menu,1000,RM0.65,3,"informational, commercial",19
464,kampunglah raja laut kl menu,1000,RM0,1,transactional,22
465,naknak menu price,1000,RM0,1,transactional,5
466,the coffee bean and tea leaf menu,1000,RM1.14,24,"commercial, navigational",31
467,hama japanese dining menu,1000,RM5.39,3,informational,21
468,big apple donut menu,1000,RM1.39,4,"informational, navigational",18
469,breakfast thieves apw bangsar menu,1000,RM0,1,informational,28
470,two sons on the park klcc menu,1000,RM0,1,transactional,13
471,eden by wizards menu,1000,RM0,1,informational,19
